id,title,filename,mime,width,height,alt,caption,url
1275,placeholder.png,placeholder-42.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-42.png
1277,placeholder.png,placeholder-43.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-43.png
1279,placeholder.png,placeholder-44.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-44.png
1281,placeholder.png,placeholder-45.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-45.png
1283,placeholder.png,placeholder-46.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-46.png
1285,placeholder.png,placeholder-47.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-47.png
1287,placeholder.png,placeholder-48.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-48.png
1289,placeholder.png,placeholder-49.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-49.png
1291,placeholder.png,placeholder-50.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-50.png
1293,placeholder.png,placeholder-51.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-51.png
1295,placeholder.png,placeholder-52.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-52.png
1297,placeholder.png,placeholder-53.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-53.png
1299,placeholder.png,placeholder-54.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-54.png
1301,placeholder.png,placeholder-55.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-55.png
1303,placeholder.png,placeholder-56.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-56.png
1305,placeholder.png,placeholder-57.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-57.png
1307,placeholder.png,placeholder-58.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-58.png
1309,placeholder.png,placeholder-59.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-59.png
1311,placeholder.png,placeholder-60.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-60.png
1313,placeholder.png,placeholder-61.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-61.png
1315,placeholder.png,placeholder-62.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-62.png
1317,placeholder.png,placeholder-63.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-63.png
1319,placeholder.png,placeholder-64.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-64.png
1321,placeholder.png,placeholder-65.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-65.png
1323,placeholder.png,placeholder-66.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-66.png
